"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
121,"NESR","National Energy Services Reunited Corp","Energy","Oil & Gas Equipment & Services","USA",3504.60,38.17,34.75,0.72%,1618432
122,"NKTR","Nektar Therapeutics","Healthcare","Biotechnology","USA",2533.07,,74.19,-2.85%,607432
123,"NRIX","Nurix Therapeutics Inc","Healthcare","Biotechnology","USA",2712.85,,26.14,3.24%,1232151
124,"NTRA","Natera Inc","Healthcare","Diagnostics & Research","USA",47305.23,,328.18,0.16%,968221
125,"NX","Quanex Building Products Corp","Industrials","Building Products & Equipment","USA",1053.13,23.08,22.93,22.23%,1917864
126,"ODTX","Odyssey Therapeutics Inc","Healthcare","Biotechnology","USA",1382.16,,28.76,8.94%,268974
127,"OII","Oceaneering International Inc","Energy","Oil & Gas Equipment & Services","USA",5115.82,14.80,51.40,-0.73%,394006
128,"PARR","Par Pacific Holdings Inc","Energy","Oil & Gas Refining & Marketing","USA",4074.10,4.75,81.32,-0.81%,580035
129,"PAYP","PayPay Corp ADR","Technology","Software - Infrastructure","Japan",11393.29,13.80,17.04,0.65%,1500729
130,"PBF","PBF Energy Inc","Energy","Oil & Gas Refining & Marketing","USA",8812.03,6.57,74.34,-1.31%,1872747
131,"PCVX","Vaxcyte Inc","Healthcare","Biotechnology","USA",9100.93,,61.16,-0.02%,986706
132,"PLSE","Pulse Biosciences Inc","Healthcare","Medical Instruments & Supplies","USA",3797.22,,53.24,-2.69%,515419
133,"PSIX","Power Solutions International Inc","Industrials","Specialty Industrial Machinery","USA",933.92,13.77,40.49,11.18%,447946
134,"PTGX","Protagonist Therapeutics Inc","Healthcare","Biotechnology","USA",9429.29,140.51,145.72,-2.07%,501305
135,"PVLA","Palvella Therapeutics Inc","Healthcare","Biotechnology","USA",2265.58,,157.24,1.14%,162268
136,"QMCO","Quantum Corp","Technology","Computer Hardware","USA",974.61,,24.73,1.77%,1048916
